Наименование,Цена,Количество
Замок навесной MGD 32,76₽/шт, 239 шт
Замок навесной MGD 38,90₽/шт, 1442 шт
Замок навесной MGD 50,170₽/шт, 601 шт
Замок навесной MGD 63 удлинённая дужка,245₽/шт, 1115 шт
Замок навесной MGD 63,225₽/шт, 4670 шт
Замок навесной MGD 63 под 1 ключ,230₽/шт, 4689 шт
Замок навесной MGD 75,315₽/шт, 1057 шт
Замок навесной APECS PD-10-75 скоба,580₽/шт, 27 шт
Замок навесной APECS PD-15-90 панцирь,965₽/шт, 16 шт
Замок навесной APECS PD-47L удлинённая дужка,315₽/шт, 25 шт
Замок навесной APECS ПД-81-65 велосипедный,165₽/шт, 18 шт
Замок навесной MGD 50-55 всепогодный,280₽/шт, 1044 шт
"Замок навесной MGD 50-55 L всепогодный, удлинённая дужка",300₽/шт, 2006 шт
Замок навесной MGD 50-70 всепогодный,425₽/шт, 290 шт
"Замок навесной MGD 50-70 L всепогодный, удлинённая дужка",440₽/шт, 335 шт
Замок навесной ВС-2А Чебоксары,638₽/шт, 28 шт
Замок навесной ВС-5 контрольный,186₽/шт, 105 шт
Замок врезной ЗВ1 М (ЗВ 1-2),595₽/шт, 6 шт
"Замок врезной почтовый D16 мм.""Апекс""",105₽/шт, 123 шт
"Замок накладной ЗНУ-М ""Цербер"" С-Пб",2748₽/шт, 11 шт
"Секретка ""Аверс "" 60-Z (золото)",334₽/шт, 13 шт
"Секретка ""Аверс "" 60-ZN (хром)",334₽/шт, 30 шт
"Секретка ""Аверс"" 70-Z (золото)",345₽/шт, 8 шт
"Секретка ""Аверс"" 70-ZN (хром)",345₽/шт, 29 шт
"Секретка ""Аверс"" 80-Z (золото)",360₽/шт, 12 шт
"Секретка ""Аверс"" 80-ZN (хром)",360₽/шт, 24 шт
Доводчик DORMA TS-77 EN 2 (до 45 кг) белый,1950₽/шт, 9 шт
Доводчик DORMA TS-77 EN 2 (до 45 кг) коричневый,1950₽/шт, 3 шт
Доводчик DORMA TS-77 EN 2 (до 45 кг) серебро,1950₽/шт, 10 шт
Доводчик DORMA TS-77 EN 3 (до 65 кг) белый,2000₽/шт, 13 шт
Доводчик DORMA TS-77 EN 3 (до 65 кг)коричневый,2000₽/шт, 11 шт
Доводчик DORMA TS-77 EN 3 (до 65 кг) серебро,2000₽/шт, 4 шт
Доводчик DORMA TS-77 EN 4 (до 120 кг) белый,2100₽/шт, 11 шт
Доводчик DORMA TS-77 EN 4 (до 120 кг) коричневый,2100₽/шт, 16 шт
Доводчик DORMA TS-77 EN 4 (до 120 кг) серебро,2100₽/шт, 10 шт
Петля 100 мм бронза дверная ( без врезки) ВО20,90₽/шт, 19 шт
Петля 100 мм золото дверная ( без врезки) ВО20,90₽/шт, 43 шт
Петля 100 мм мат.хром дверная ( без врезки) ВО20,90₽/шт, 51 шт
Петля гаражная (Ф-14 L=100),65₽/шт, 307 шт
Петля гаражная (Ф-16 L=100),83₽/шт, 411 шт
Петля гаражная (Ф-20 L=120) с масленкой,177₽/шт, 115 шт
Петля гаражная (Ф-20 L=140) с подш.,88₽/шт, 723 шт
Петля гаражная (Ф-22 L=120) с шар.,96₽/шт, 232 шт
Петля гаражная (Ф-30 L=140) с масленкой,312₽/шт, 136 шт
Петля гаражная (Ф-30 L=140) с шар.,190₽/шт, 214 шт
Петля гаражная (Ф-40 L=170) с масленкой,510₽/шт, 219 шт
Петля гаражная (Ф-40 L=180 ) с шар.,458₽/шт, 233 шт
Петля гаражная ПД-290,155₽/шт, 25 шт
Петля гаражная ПД-500,286₽/шт, 15 шт
Петля ПН 5-40 унив.,14₽/шт, 339 шт
Петля ПН 5-60 унив.,22₽/шт, 188 шт
Петля ПН 1-60 унив. белая,28₽/шт, 311 шт
Петля ПН 1-85 левая,42₽/шт, 11 шт
Петля ПН 1-85 правая,42₽/шт, 9 шт
Петля ПН 1-85 левая оцинк.,45₽/шт, 50 шт
Петля ПН 1-85 правая оцинк.,45₽/шт, 54 шт
Петля ПН 1-100 ( без врезки),69₽/шт, 458 шт
Петля ПН 1-110 левая оцинк.,57₽/шт, 33 шт
Петля ПН 1-110 правая оцинк.,57₽/шт, 56 шт
Петля ПН 1-130 левая оцинк.,67₽/шт, 49 шт
Петля ПН 1-130 правая оцинк.,67₽/шт, 37 шт
Петля рояльная 788 мм,82₽/шт, 12 шт
Петля рояльная 1000 мм,73₽/шт, 25 шт
Бирки для ключей 6шт (67400),57₽/упак, 579 упак
Завертка оконная Р-1 металл.,36₽/шт, 0 шт
Задвижка дверная круглая,231₽/шт, 9 шт
"Задвижка дверная плоская (L 130 мм) ""К"" СПб",148₽/шт, 38 шт
Задвижка дверная плоская с проушиной,178₽/шт, 41 шт
Крючок -вешалка,"13,5₽/шт", 250 шт
Крючок мебельный двухрожковый,58₽/шт, 25 шт
Крючок мебельный трехрожковый,120₽/шт, 24 шт
Механизм оконный ЗВ-1,45₽/шт, 34 шт
Накладка к замку НД-А,63₽/шт, 10 шт
Проушина прямая,11₽/шт, 575 шт
Проушина угловая,12₽/шт, 427 шт
Пружина дверная с планками,92₽/шт, 381 шт
"Ручка-кнопка дверная AL ""K"" металл черная",228₽/шт, 20 шт
Ручка скоба 80 мм цинк,36₽/шт, 263 шт
Ручка скоба 100 мм цинк,44₽/шт, 128 шт
Скоба строительная 300х10 мм,55₽/шт, 554 шт
Шпингалет ЗТ- 7,27₽/шт, 4 шт
Шпингалет ЗТ-12,32₽/шт, 186 шт
Линейка металлическая 150 мм ГОСТ427-75 СТИЗ,72₽/шт, 184 шт
Линейка металлическая 300 мм ГОСТ427-75 СТИЗ,169₽/шт, 183 шт
Линейка металлическая 500 мм ГОСТ427-75 СТИЗ,295₽/шт, 248 шт
Линейка металлическая 1000 мм ГОСТ427-75 СТИЗ,885₽/шт, 48 шт
"Рулетка 2м х 16мм (обрезин) ""ONYX""",72₽/шт, 893 шт
"Рулетка 3м х 16мм (обрезин) ""ONYX""",98₽/шт, 11742 шт
"Рулетка 5м х 19мм "" ФИБО""",105₽/шт, 3946 шт
"Рулетка 5м х 25мм (обрезин) ""ONYX""",150₽/шт, 57751 шт
"Рулетка 5м х 25мм х 0.13мм КОБАЛЬТ ""Экстра"" (автостоп,магнит,2строн.шкала,обрезин)/ 906-890",500₽/шт, 30 шт
"Рулетка 7,5м х 25мм (обрезин) ""ONYX""",235₽/шт, 5513 шт
"Рулетка 7,5м х 25мм х 0.13мм КОБАЛЬТ ""Экстра"" (автостоп,магнит,2строн.шкала,обрезин)/ 906-913",670₽/шт, 10 шт
"Рулетка 10м х 25мм (обрезин) ""ONYX""",295₽/шт, 9992 шт
"Рулетка 20м открытый корпус ""ONYX""",570₽/шт, 186 шт
"Рулетка 30м открытый корпус ""ONYX""",710₽/шт, 255 шт
"Рулетка 50 м открытый корпус ""ONYX""",930₽/шт, 381 шт
"Рулетка 3м х 16мм GROSS Ergonomisch 31101 (магнитный зацеп, обрезиненный корпус)",352₽/шт, 97 шт
"Рулетка 5мх25мм GROSS Ergonomisch (магнитный зацеп, обрезиненный корпус)",520₽/шт, 169 шт
"Рулетка 8м х 25мм GROSS Ergonomisch 31104 (магнитный зацеп, обрезиненный корпус)",650₽/шт, 134 шт
"Рулетка 10м х 25ммGROSS Ergonomisch 31105 (магнитный зацеп, обрезиненный корпус)",770₽/шт, 145 шт
"Штангенциркуль 125 мм ШЦ-I 0,05 кл.1 с глубиномером КАЛИБРОН",1720₽/шт, 36 шт
"Штангенциркуль 125 мм ШЦ-I 0,05. моноблок с глубиномером ""СтИЗ"" К***",1740₽/шт, 18 шт
"Штангенциркуль 125 мм ШЦ-I 0,1 кл.2 с глубиномером КАЛИБРОН",820₽/шт, 19 шт
"Штангенциркуль 125 мм ШЦ-I 0,1 кл.2. моноблок с глубиномером ""СтИЗ"" К",1470₽/шт, 14 шт
"Штангенциркуль 150 мм ШЦ-I 0,05 кл.1 с глубиномером КАЛИБРОН",1650₽/шт, 41 шт
"Штангенциркуль 150 мм ШЦ-I 0,05. моноблок с глубиномером ""СтИЗ"" К",1795₽/шт, 12 шт
"Штангенциркуль 150 мм ШЦ-I 0,1 кл.2 с глубиномером КАЛИБРОН",930₽/шт, 43 шт
"Штангенциркуль 150 мм ШЦ-I 0,1 кл.2. моноблок с глубиномером ""СтИЗ"" К***",1560₽/шт, 11 шт
"Штангенциркуль 250 мм ШЦ-I 0,05 кл.1 с глубиномером КАЛИБРОН",4250₽/шт, 20 шт
"Штангенциркуль 250 мм ШЦ-II 0,05 кл.1 КАЛИБРОН",6250₽/шт, 1 шт
"Штангенциркуль 250 мм ШЦТ-II 0,05 разметочный тв/сплав губки GRIFF",13850₽/шт, 12 шт
