Наименование,Цена,Количество
"Диск алмазный 125х1,1х22 сплошн. SPLINTER Diamond Industrial/керамогранит, керамическая плитка",2250₽/шт, 56 шт
"Диск алмазный 125х1,1х22 сплошн. Керамик PRO TRIO-DIAMOND/керамогранит/",475₽/шт, 224 шт
"Диск алмазный 125х1,2х22 турбо(паутинка) HILBERG X-TYPE/керамогранит/",1560₽/шт, 226 шт
"Диск алмазный 125х22 сегм. ONYX/бетон , кирпич",280₽/шт, 4206 шт
"Диск алмазный 125х22 сегм. ФИБО/бетон , кирпич",175₽/шт, 1421 шт
Диск алмазный 125х22 сегм. KRONGER/армированный бетон,925₽/шт, 76 шт
"Диск алмазный 125х22 сегм. TRIO-DIAMOND/бетон , кирпич",430₽/шт, 84 шт
"Диск алмазный 125х22 мм турбо-сегментный гранит ПРАКТИКА ""Эксперт"" /034-328",1010₽/шт, 0 шт
"Диск алмазный 125х22 сегмент ПРАКТИКА ""Мастер"" /030-672",319₽/шт, 0 шт
"Диск алмазный 125х22 сплошн. ONYX/плитка , кирпич",190₽/шт, 2468 шт
"Диск алмазный 125х22 турбо ONYX/бетон , кирпич",240₽/шт, 2124 шт
"Диск алмазный 125х22 турбо TRIO-DIAMOND/бетон , кирпич",430₽/шт, 34 шт
"Диск алмазный 125х22 турбо-сегмент арм.бетон ПРАКТИКА ""Эксперт"" /030-764",1060₽/шт, 0 шт
Диск алмазный 150х22 сегм. Diamond Industrial/бетон,395₽/шт, 11 шт
Диск алмазный 180х22 сегм. Diamond Industrial/бетон,520₽/шт, 4 шт
"Диск алмазный 180х25,4 турбо(паутинка) HILBERG X-TYPE /керамогранит/",2745₽/шт, 3 шт
"Диск алмазный 200х25,4 турбо(паутинка) HILBERG X-TYPE /керамогранит/",3110₽/шт, 2 шт
"Диск алмазный 230х22 сегм. ONYX/бетон , кирпич",910₽/шт, 8150 шт
"Диск алмазный 230х22 сегм. ФИБО/бетон , кирпич",560₽/шт, 1749 шт
"Диск алмазный 230х22 сегм. TRIO-DIAMOND/бетон , кирпич",1095₽/шт, 1207 шт
Диск алмазный 230х22 сегм. KRONGER/армированный бетон,2290₽/шт, 145 шт
"Диск алмазный 230х22 сегм+турбо TRIO-DIAMOND PRO/железобетон, гранит",1510₽/шт, 265 шт
"Диск алмазный 230х22 сегм.+турбо TRIO-DIAMOND/бетон , кирпич",1095₽/шт, 61 шт
"Диск алмазный 230х22 сплошн. ONYX/плитка , кирпич",585₽/шт, 1112 шт
"Диск алмазный 230х22 турбо ONYX/бетон , кирпич",710₽/шт, 3916 шт
"Диск алмазный 230х22 турбо TRIO-DIAMOND/бетон , кирпич",1065₽/шт, 43 шт
"Диск алмазный 230х22 турбо Diamond Industrial/бетон , кирпич/",840₽/шт, 13 шт
"Диск алмазный 250х25,4 турбо(паутинка) HILBERG X-TYPE/керамогранит/",4475₽/шт, 0 шт
"Диск алмазный 350х25,4/22 сегм. ONYX/бетон",2760₽/шт, 1526 шт
"Диск алмазный 350х25,4 сегм. KRONGER/армированный бетон",5590₽/шт, 33 шт
"Диск алмазный 350х25,4 сегм. KRONGER/асфальт",6930₽/шт, 20 шт
"Диск алмазный 350х25,4 сегментный KRONGER/гранит, мрамор",5560₽/шт, 13 шт
"Диск алмазный 400х25,4/22 сегм. ONYX/бетон",3650₽/шт, 44 шт
"Диск алмазный 400х25,4 сегм. KRONGER/армированный бетон",6765₽/шт, 12 шт
"Диск алмазный 400х25,4 сегм. KRONGER/асфальт",7760₽/шт, 15 шт
"Диск алмазный 400х25,4 сегм.+турбо Diamond Industrial/бетон , кирпич/",4750₽/шт, 0 шт
"Круг алмазный гибкий шлифовальный 100 мм, №50 Diamond Industrial/керамогранит",490₽/шт, 10 шт
"Круг алмазный гибкий шлифовальный 100 мм, №100 Diamond Industrial/керамогранит",490₽/шт, 16 шт
"Круг алмазный гибкий шлифовальный 100 мм, №200 Diamond Industrial/керамогранит",490₽/шт, 20 шт
"Круг алмазный гибкий шлифовальный 100 мм, №400 Diamond Industrial/керамогранит",490₽/шт, 10 шт
Чашка алмазная 115*22 сегм. 2-х рядная ONYX,595₽/шт, 1051 шт
Чашка алмазная 125*22 сегм. 2-х рядная ONYX,830₽/шт, 6565 шт
Чашка алмазная 125*22 сегм. 2-х рядная Trio-Diamond,1065₽/шт, 145 шт
Чашка алмазная 125*22 турбо ONYX,570₽/шт, 1391 шт
Чашка алмазная 180*22 сегм. 2-х рядная ONYX,1450₽/шт, 1245 шт
Чашка алмазная 230*22 сегм. 2-х рядная ONYX,2560₽/шт, 1214 шт
Круг алмазный для заточки/доводки 1А1 150х10х3х32 100/80,2650₽/шт, 19 шт
Чашка алмазная для заточки/доводки 12А2-45гр. 150х10х3х32 100/80,2450₽/шт, 20 шт
Диск по дереву 125х22 сегментный Hilberg Super Wood,865₽/шт, 105 шт
Круг коралловый зачистной 125x22,685₽/шт, 58 шт
"Круг обдирочный победитовый 125х22,2 зерно 1",1300₽/шт, 0 шт
"Круг обдирочный победитовый 125х22,2 зерно 5",1300₽/шт, 0 шт
Коронка алмазная в сборе 68*70мм/подрозетник SDS+Diamond Industrial,2920₽/шт, 10 шт
Коронка алмазная в сборе 72*70мм/подрозетник SDS+ Diamond Industrial,3050₽/шт, 14 шт
Коронка алмазная в сборе 82*70мм/подрозетник SDS+ Diamond Industrial,3150₽/шт, 11 шт
Коронка алмазная по керамограниту 25 мм TRIO-DIAMOND,735₽/шт, 78 шт
Коронка алмазная по керамограниту 30 мм TRIO-DIAMOND,880₽/шт, 19 шт
Коронка алмазная по керамограниту 35 мм TRIO-DIAMOND,965₽/шт, 37 шт
Коронка алмазная по керамограниту 40 мм TRIO-DIAMOND,1130₽/шт, 36 шт
Коронка алмазная по керамограниту 45 мм TRIO-DIAMOND,1245₽/шт, 30 шт
Коронка алмазная по керамограниту 50 мм TRIO-DIAMOND,1375₽/шт, 4 шт
Коронка алмазная по керамограниту 68 мм TRIO-DIAMOND,1840₽/шт, 81 шт
Коронка алмазная по керамограниту 120 мм TRIO-DIAMOND,3025₽/шт, 37 шт
Коронка алмазная по керамограниту 130 мм TRIO-DIAMOND,3595₽/шт, 0 шт
Коронка алмазная по керамограниту 25 мм Hilberg/УШМ,1440₽/шт, 19 шт
Коронка алмазная по керамограниту 35 мм Hilberg/УШМ,1780₽/шт, 25 шт
Коронка алмазная по керамограниту 40 мм Hilberg/УШМ,2020₽/шт, 33 шт
Коронка алмазная по керамограниту 45 мм Hilberg/УШМ,2235₽/шт, 20 шт
Коронка алмазная по керамограниту 68 мм Hilberg/УШМ,3315₽/шт, 28 шт
Домкрат гидравлический 5 т 195--385 мм AUTOVIRAZH (AV-074205),1630₽/шт, 0 шт
Домкрат гидравлический 5 т 216-413 мм АВТОДЕЛО (43305),1730₽/шт, 12 шт
Домкрат гидравлический 6 т 216-413 мм АВТОДЕЛО (43306),2050₽/шт, 8 шт
Домкрат гидравлический 12 т 210-415 мм низкий подхват АВТОДЕЛО (43120),2900₽/шт, 7 шт
Домкрат гидравлический 20 т 217-407 мм низкий подхват АВТОДЕЛО (43200),4400₽/шт, 6 шт
